Id,Expected
285e26c90e1797c77826f9a7021bab9f_0,554879 9 554889 9 556159 9 556169 9 557439 9 557449 9 558699 59 559979 59 561259 59 562539 59 563799 94 565079 94 566359 94 567639 94 568909 114 570189 114 571469 114 572749 114 574024 134 575304 134 576584 134 577854 149 579134 149 580414 149 581694 149 582969 164 584249 164 585529 164 586809 164 588079 179 589359 179 590639 179 591919 179 593194 189 594474 189 595754 189 597029 199 598309 199 599589 199 600869 199 602139 214 603419 214 604699 214 605979 214 607254 224 608534 224 609814 224 611094 224 612374 229 613654 229 614934 229 616209 239 617489 239 618769 239 620049 239 621329 244 622609 244 623889 244 625169 244 626449 249 627729 249 629009 249 630289 249 631569 249 632849 249 634129 249 635404 259 636684 259 637964 259 639244 259 640524 259 641804 259 643084 259 644364 259 645649 259 646929 259 648209 259 649489 259 650769 259 652049 259 653329 259 654619 254 655899 254 657179 254 658459 254 659739 259 661019 259 662299 259 663579 259 664859 259 666139 259 667419 259 668699 259 669979 264 671259 264 672539 264 673819 264 675099 264 676379 264 677659 264 678939 269 680219 269 681499 269 682779 269 684059 269 685339 269 686619 269 687899 269 689179 274 690459 274 691739 274 693019 274 694299 274 695579 274 696859 274 698139 279 699419 279 700699 279 701979 279 703259 279 704539 279 705819 279 707099 279 708379 279 709659 279 710939 279 712219 279 713499 279 714779 279 716059 279 717339 279 718619 279 719899 279 721179 279 722459 284 723739 284 725019 284 726300 283 727584 279 728864 279 730144 279 731429 109 731549 154 732709 109 732829 154 733989 109 734109 154 735269 109 735389 154 736549 104 736674 149 737829 104 737954 149 739109 104 739234 149 740389 104 740514 149 741669 104 741799 144 742949 104 743079 144 744229 104 744359 144 745509 104 745641 142 746789 104 746924 139 748069 104 748204 139 749349 104 749484 139 750634 94 750769 109 750879 9 750889 9 751914 94 752049 109 752159 9 752169 9 753194 94 753329 109 753439 9 753449 9 754474 94 754609 109 754719 9 754729 9 755754 94 755889 109 755999 9 756009 9 757034 94 757169 109 757279 9 757289 9 758314 94 758449 109 758559 9 758569 9 759594 94 759729 109 759839 9 759849 9 760879 84 761014 84 761099 9 761109 9 761119 9 762159 84 762294 84 762379 9 762389 9 762399 9 763439 84 763574 84 763659 9 763669 9 763679 9 764719 84 764854 84 764939 9 764949 9 764959 9 765999 84 766134 84 766219 9 766229 9 766239 9 767279 84 767414 84 767499 9 767509 9 767519 9 768559 84 768694 84 768779 9 768789 9 768799 9 769839 84 769979 79 771119 84 771259 79 772399 84 772539 79 773679 84 773819 79 774959 79 775099 79 776239 79 776379 79 777519 79 777659 79 778799 79 778939 79 780084 74 780219 79 781364 74 781499 79 782644 74 782779 79 783924 69 784059 79 785204 69 785339 79 786484 69 786619 79 787764 69 787899 79 789049 59 789179 79 790329 59 790459 79 791609 59 791739 79 792889 59 793019 79 794174 49 794304 74 795454 49 795584 74 796734 49 796864 74 798014 49 798144 74 799309 9 799319 9 799424 74 800589 9 800599 9 800704 74 801869 9 801879 9 801984 74 803264 74 804544 74 805824 74 807104 74 808389 69 809669 69 810949 69 812229 69 813509 69 814789 69 816069 69 817349 69 818634 64 819914 64 821194 64 822479 59 823759 59 825039 59 826319 59 827604 44 828884 44 830164 44 831444 44 832724 44 834004 44 835284 44 836564 44 837854 24 839134 24 840414 24 841694 24 841719 9 842974 24 842999 9 844254 24 844279 9 845534 24 845559 9 846819 9 846829 9 846839 9 848099 9 848109 9 848119 9 849379 9 849389 9 849399 9 850659 9 850669 9 850679 9 851949 9 853229 9 854509 9 855789 9
285e26c90e1797c77826f9a7021bab9f_1,626444 9 627724 9 629004 9 630284 9 631564 9 632844 9 634124 9 635404 9 636684 9 637964 9 639244 9 640519 14 640534 9 641799 14 641814 9 643079 14 643094 9 644359 14 644374 9 645639 14 645654 9 646919 14 646934 9 648199 14 648214 9 649479 14 649494 9 650759 24 652039 24 653319 24 654599 24 655879 24 657159 24 658439 24 659714 39 660994 39 662274 39 663554 39 664834 39 666114 39 667394 39 668674 39 669964 29 671244 29 672524 29 673804 29 675084 29 676364 29 677644 29 678924 29 680204 29 681484 29 682764 29 684044 29 685324 29 686604 29 687884 29 689164 9 689174 14 690444 9 690454 14 691724 9 691734 14 693004 9 693014 14 694284 9 694294 14 695564 9 695574 14 696844 9 696854 14 698124 9 698134 9 699404 9 699414 9 700684 9 700694 9 701964 9 701974 9 703244 9 703254 9 704524 9 704534 9 705804 9 705814 9 707084 9 707094 9 708364 9 708374 9 709644 9 709654 9 710924 9 710934 9 712204 9 712214 9 713484 9 713494 9 714764 9 714774 9 716044 9 716054 9 717324 9 717334 9 718604 9 718614 9 719884 9 719894 9 721164 9 721174 9 722444 9 722454 9 723724 9 723734 9 725004 9 725014 9 726285 7 726295 7 727564 9 727574 19 728844 9 728854 19 730124 9 730134 19 731404 9 731414 19 732684 9 732694 19 733964 9 733974 19 735244 9 735254 19 736524 9 736534 9 736544 9 736814 9 737804 9 737814 9 737824 9 738094 9 739084 9 739094 9 739104 9 739374 9 740364 9 740374 9 740384 9 740654 9 741644 9 741654 9 741664 9 741934 9 742924 9 742934 9 742944 9 743214 9 744204 9 744214 9 744224 9 744494 9 745486 5 745496 5 745504 9 745776 5 746754 9 746764 9 746784 19 747024 9 747034 9 747044 9 747054 9 748034 9 748044 9 748064 19 748304 9 748314 9 748324 9 748334 9 749314 9 749324 9 749344 19 749584 9 749594 9 749604 9 749614 9 750594 9 750604 9 750624 19 750864 9 750874 9 750884 9 750894 9 751874 9 751884 9 751904 19 752144 9 752154 9 752164 9 752174 9 753154 9 753164 9 753184 19 753424 9 753434 9 753444 9 753454 9 754434 9 754444 9 754464 19 754704 9 754714 9 754724 9 754734 9 755714 9 755724 9 755744 19 755784 9 755794 9 755964 9 755974 39 756994 9 757004 9 757024 19 757064 9 757074 9 757244 9 757254 39 758274 9 758284 9 758304 19 758344 9 758354 9 758524 9 758534 39 759554 9 759564 9 759584 19 759624 9 759634 9 759804 9 759814 39 760834 9 760844 9 760864 19 760904 9 760914 9 761084 9 761094 39 762114 9 762124 9 762144 19 762184 9 762194 9 762364 9 762374 39 763394 9 763404 9 763424 19 763464 9 763474 9 763644 9 763654 39 764714 9 764934 9 764944 9 764954 9 764964 9 765954 9 765964 9 765984 19 766034 9 766204 39 766244 9 767234 9 767244 9 767264 19 767314 9 767484 39 767524 9 768514 9 768524 9 768544 19 768594 9 768764 39 768804 9 769794 9 769804 9 769824 19 769874 9 770044 39 771074 9 771084 9 771104 19 771154 9 771324 39 772354 9 772364 9 772384 19 772434 9 772604 39 773634 9 773644 9 773664 19 773714 9 773884 39 774954 14 774994 9 775174 19 775194 9 776234 14 776274 9 776454 19 776474 9 777514 14 777554 9 777734 19 777754 9 778794 14 778834 9 779014 19 779034 9 780074 14 780114 9 780294 19 781354 14 781394 9 781574 19 782634 14 782674 9 782854 19 783926 5 784134 9 784146 5 785204 9 785414 9 785424 9 786484 9 786694 9 786704 9 787764 9 787974 9 787984 9 789044 9 789254 9 789264 9 790324 9 790534 9 790544 9 791604 9 791814 9 791824 9 792884 9 793094 9 793104 9 794194 9 794204 9 794374 9 795474 9 795484 9 795654 9 796754 9 796764 9 796934 9 798034 9 798044 9 798214 9 799314 9 799324 9 799494 9 800594 9 800604 9 800774 9 801874 9 801884 9 802054 9 803334 9 804614 9 805894 9 807174 9 808454 9 809734 9 811014 9 812294 9 813569 14 814849 14 816129 14 817409 14 818689 9 819969 9 821249 9 822524 9 823804 9 825084 9 826364 9 827644 9 828924 9 830204 9 831484 9 832734 9 832744 9 832754 9 834014 9 834024 9 834034 9 835294 9 835304 9 835314 9 836574 9 836584 9 836594 9 837854 9 837864 9 837874 9 839134 9 839144 9 839154 9 840414 9 840424 9 840434 9 841704 9 842984 9 844264 9 845544 9 846824 9 848104 9 849384 9 850664 9 860774 9 862054 9 863334 9 864614 9 865894 9 867174 9 868454 9 869734 9
7cdf3f33c3ca4d5060a633a8d5b2b2b5_0,127399 19 128679 19 129959 19 131239 19 132514 29 133794 29 135074 29 136354 29 137634 34 138914 34 140194 34 141474 34 142749 44 144029 44 145309 44 146589 44 147869 44 149149 44 150429 44 151704 54 152984 54 154264 54 155544 54 156824 54 158104 54 159384 54 160664 54 161944 59 163224 59 164504 59 165779 64 167059 64 168339 64 169619 64 170899 64 172179 64 173459 64 174739 64 176019 64 177299 64 178579 64 179859 64 181139 64 182419 64 183699 64 184979 64 186259 64 187539 64 188819 64 190099 64 191379 64 192659 64 193939 64 195219 69 196499 69 197779 69 199054 74 200334 74 201614 74 202894 74 204174 79 205454 79 206734 79 208014 79 209294 79 210574 79 211854 79 213134 79 214414 84 215694 84 216974 84 218254 89 219534 89 220814 89 222094 89 223374 89 224654 89 225934 89 227214 89 228494 99 229774 99 231054 99 232334 99 233614 114 234894 114 236174 114 237454 114 237599 9 238734 114 238879 9 240014 114 240159 9 241294 114 241439 9 242574 104 242714 29 243854 104 243994 29 245134 104 245274 29 246414 104 246554 29 247689 109 247829 39 248969 109 249109 39 250249 109 250389 39 251529 109 251669 39 252809 109 252949 44 254089 109 254229 44 255369 109 255509 44 256649 109 256789 49 257929 109 258069 49 259209 109 259349 49 260489 109 260629 49 261769 119 261904 54 263049 119 263184 54 264329 119 264464 54 265609 119 265744 54 266884 124 267024 59 268164 124 268304 59 269444 124 269584 59 270724 124 270864 59 272004 139 272144 64 273284 139 273424 64 274564 139 274704 64 275844 204 277124 204 278404 204 279684 204 280964 214 282244 214 283524 214 284804 214 286084 214 287364 214 288644 214 289924 214 291204 214 292484 214 293764 214 295044 214 296324 214 297604 214 298884 214 300164 214 301444 214 302724 214 304004 214 305284 214 306564 214 307844 214 309124 214 310399 219 311679 219 312959 219 314239 219 315519 219 316799 219 318079 219 319359 219 320639 219 321919 219 323199 219 324479 219 325759 219 327039 219 328319 219 329599 224 330879 224 332159 224 333439 224 334719 224 335999 224 337279 224 338559 224 339839 224 341119 224 342399 224 343679 224 344959 224 346239 224 347519 224 348799 224 350079 224 351359 224 352639 224 353919 224 355199 224 356479 224 357764 219 359044 219 360324 219 361604 219 362884 219 364164 219 365444 219 366724 219 368004 219 369284 219 370564 219 371844 214 373124 214 374404 214 375684 214 376964 214 378244 214 379524 214 380804 214 382084 214 383364 214 384644 214 385924 214 387204 209 388484 209 389764 209 391044 204 392324 204 393604 204 394884 204 396164 199 397444 199 398724 199 400004 199 401289 189 402569 189 403849 189 405129 189 406409 184 407689 184 408969 184 410249 179 411529 179 412809 179 414089 179 415369 179 416649 179 417929 179 419209 179 420494 169 421774 169 423054 169 424334 169 425614 169 426894 169 428174 169 429454 164 430734 164 432014 164 433294 164 434574 164 435854 164 437134 164 438414 164 439694 164 440974 164 442254 164 443536 160 444819 154 446099 154 447379 154 448659 154 449939 154 451219 154 452499 154 453779 149 455059 149 456339 149 457619 149 458899 149 460179 149 461459 149 462739 144 464019 144 465299 144 466579 144 467864 139 469144 139 470424 139 471704 139 472984 139 474264 139 475544 139 476824 139 478104 139 479384 139 480664 139 481949 129 483229 129 484509 129 485789 129 487074 124 488354 124 489634 124 490914 124 492199 114 493479 114 494759 114 496039 114 497319 114 498599 114 499879 114 501164 49 501234 29 502444 49 502514 29 503724 49 503794 29 505004 49 505074 29 506289 34 507569 34 508849 34 510129 34 511414 19 512694 19 513974 19 515254 19
7cdf3f33c3ca4d5060a633a8d5b2b2b5_1,267024 9 267079 9 268304 9 268359 9 269584 9 269639 9 270864 9 270919 9 272144 9 272199 9 273424 9 273479 9 274704 9 274759 9 275974 9 276044 9 277254 9 277324 9 278534 9 278604 9 279814 9 279884 9 281094 9 281164 9 282374 9 282444 9 283654 9 283724 9 284934 9 285004 9 286214 9 286294 9 287494 9 287574 9 288774 9 288854 9 290054 9 290134 9 291334 9 291414 9 292614 9 292694 9 293894 9 293974 9 295254 9 296534 9 297814 9 299094 9 300374 9 301654 9 302934 9 304214 9
eff05dec1eb3a70b145a7d8d3b6c0ed7_0,415449 44 416729 44 418009 44 419289 44 420559 74 421839 74 423119 74 424399 74 425669 89 426949 89 428229 89 429499 109 430779 109 432059 109 433339 109 434614 114 435894 114 437174 114 438454 114 439724 134 441004 134 442284 134 443564 134 444834 144 446114 144 447394 144 448664 154 449944 154 451224 154 452504 154 453774 169 455054 169 456334 169 457614 169 458889 174 460169 174 461449 174 462729 174 464004 179 465284 179 466564 179 467834 194 469114 194 470394 194 471674 194 472949 199 474229 199 475509 199 476789 199 478064 204 479344 204 480624 204 481904 204 483184 204 484464 204 485744 204 487019 209 488299 209 489579 209 490859 209 492134 214 493414 214 494694 214 495974 214 497249 219 498529 219 499809 219 501085 223 502364 224 503644 224 504924 224 506199 229 507479 229 508759 229 510039 229 511314 234 512594 234 513874 234 515154 234 516434 234 517714 234 518994 234 520269 239 521549 239 522829 239 524109 239 525389 239 526669 239 527949 239 529229 239 530504 244 531784 244 533064 244 534344 244 535624 244 536904 244 538184 244 539464 244 540744 244 542024 244 543304 244 544584 239 545864 239 547144 239 548424 239 549704 239 550984 239 552264 239 553544 239 554819 244 556099 244 557379 244 558659 239 559939 239 561219 239 562499 239 563779 239 565059 239 566339 239 567619 239 568899 239 570179 239 571459 239 572739 239 574014 239 575294 239 576574 239 577854 239 579134 239 580414 239 581694 239 582974 239 584254 239 585534 239 586814 239 588094 234 589374 234 590654 234 591934 234 593214 234 594494 234 595774 234 597054 229 598334 229 599614 229 600894 229 602174 229 603454 229 604734 229 606014 229 607294 224 608574 224 609854 224 611134 224 612414 219 613694 219 614974 219 616254 214 617534 214 618814 214 620094 214 621374 209 622654 209 623934 209 625214 209 626494 204 627774 204 629054 204 630334 204 631614 199 632894 199 634174 199 635459 189 636739 189 638019 189 639299 189 640579 184 641859 184 643139 184 644419 184 645704 174 646984 174 648264 174 649544 174 650824 169 652104 169 653384 169 654669 159 655949 159 657229 159 658509 159 659789 154 661069 154 662349 154 663629 154 664914 139 666194 139 667474 139 668754 139 670034 134 671314 134 672594 134 673874 129 675154 129 676434 129 677714 129 678999 114 680279 114 681559 114 682839 114 684119 104 685399 104 686679 104 687959 104 689239 94 690519 94 691799 94 693084 69 694364 69 695644 69 696924 69 698209 39 699489 39 700769 39 702049 39
eff05dec1eb3a70b145a7d8d3b6c0ed7_1,
268d4b4ef4d95ceea11957998906d369_0,612299 44 613579 44 614859 44 616134 59 617414 59 618694 59 619974 59 621244 79 622524 79 623804 79 625084 79 626359 89 627639 89 628919 89 630199 89 631474 99 632754 99 634034 99 635304 114 636584 114 637864 114 639144 114 640419 129 641699 129 642979 129 644259 129 645534 139 646814 139 648094 139 649374 139 650649 154 651929 154 653209 154 654489 159 655769 159 657049 159 658329 159 659604 169 660884 169 662164 169 663444 169 664724 174 666004 174 667284 174 668564 174 669839 189 671119 189 672399 189 673679 194 674959 194 676239 194 677519 194 678799 204 680079 204 681359 204 682639 204 683919 209 685199 209 686479 209 687759 209 689034 224 690314 224 691594 224 692874 229 694154 229 695434 229 696714 229 697994 239 699274 239 700554 239 701834 239 703114 244 704394 244 705674 244 706954 244 708234 249 709514 249 710794 249 712074 254 713354 254 714634 254 715914 254 717194 259 718474 259 719754 259 721034 259 722319 259 723599 259 724879 259 726159 259 727439 259 728719 259 729999 259 731279 264 732559 264 733839 264 735119 264 736399 269 737679 269 738959 269 740239 269 741524 264 742804 264 744084 264 745364 264 746644 269 747924 269 749204 269 750484 269 751764 269 753044 269 754324 269 755604 274 756884 274 758164 274 759444 274 760729 269 762009 269 763289 269 764569 269 765849 269 767129 269 768409 269 769689 274 770969 274 772249 274 773529 274 774814 274 776094 274 777374 274 778654 274 779934 274 781214 274 782494 274 783774 274 785054 274 786334 274 787614 274 788894 274 790174 274 791454 274 792734 274 794014 274 795294 274 796574 274 797854 274 799139 274 800419 274 801699 274 802979 274 804259 274 805539 274 806819 274 808099 274 809379 274 810659 274 811939 274 813219 274 814499 274 815779 274 817059 274 818339 274 819619 274 820899 274 822184 269 823464 269 824744 269 826024 269 827304 269 828584 269 829864 269 831144 269 832424 269 833704 269 834984 269 836264 269 837549 264 838829 264 840109 264 841394 259 842674 259 843954 259 845234 259 846514 259 847794 259 849074 259 850354 259 851639 254 852919 254 854199 254 855479 254 856764 249 858044 249 859324 249 860609 244 861889 244 863169 244 864449 244 865734 239 867014 239 868294 239 869574 239 870864 229 872144 229 873424 229 874704 229 875989 224 877269 224 878549 224 879834 219 881114 219 882394 219 883674 219 884964 209 886244 209 887524 209 888804 209 890089 199 891369 199 892649 199 893929 199 895219 189 896499 189 897779 189 899064 184 900344 184 901624 184 902904 184 904194 169 905474 169 906754 169 908034 169 909314 164 910594 164 911874 164 913154 164 914444 154 915724 154 917004 154 918284 149 919564 149 920844 149 922124 149 923414 134 924694 134 925974 134 927254 134 928539 129 929819 129 931099 129 932379 129 933664 119 934944 119 936224 119 937514 104 938794 104 940074 104 941354 104 942644 89 943924 89 945204 89 946484 89 947774 74 949054 74 950334 74 951614 74 952904 54 954184 54 955464 54 956754 29 958034 29 959314 29 960594 29
268d4b4ef4d95ceea11957998906d369_1,
fcd6da15fc656702fa602bb3c7abacdb_0,516679 39 517959 39 519239 39 520509 59 521789 59 523069 59 524349 59 525619 84 526899 84 528179 84 529459 84 530734 94 532014 94 533294 94 534574 94 535849 109 537129 109 538409 109 539684 114 540964 114 542244 114 543524 114 544799 124 546079 124 547359 124 548639 124 549914 134 551194 134 552474 134 553754 134 555029 139 556309 139 557589 139 558869 144 560149 144 561429 144 562709 144 563984 149 565264 149 566544 149 567824 149 569104 154 570384 154 571664 154 572944 154 574219 159 575499 159 576779 159 578059 159 579339 159 580619 159 581899 159 583174 169 584454 169 585734 169 587014 169 588294 169 589574 169 590854 169 592134 169 593414 174 594694 174 595974 174 597254 174 598534 174 599814 174 601094 174 602374 179 603654 179 604934 179 606214 179 607494 179 608774 179 610054 179 611334 179 612614 179 613894 179 615174 179 616454 179 617734 179 619014 179 620294 179 621574 179 622854 179 624134 179 625414 179 626694 179 627974 179 629254 179 630534 179 631814 184 633094 184 634374 184 635654 184 636934 184 638214 184 639494 184 640769 189 642049 189 643329 189 644609 189 645889 189 647169 189 648449 189 649729 189 651009 189 652289 189 653569 189 654849 189 656129 189 657409 189 658689 189 659969 189 661249 189 662529 189 663809 189 665089 189 666369 189 667649 189 668929 189 670209 189 671489 189 672769 189 674049 189 675329 189 676609 189 677889 189 679169 189 680449 189 681729 189 683009 189 684289 189 685569 189 686849 189 688129 189 689409 184 690689 184 691969 184 693249 184 694529 184 695809 184 697089 184 698374 179 699654 179 700934 179 702214 179 703494 174 704774 174 706054 174 707334 174 708614 174 709894 174 711174 174 712459 169 713739 169 715019 169 716299 169 717579 164 718859 164 720139 164 721419 164 722704 159 723984 159 725264 159 726544 159 727824 159 729104 159 730384 159 731669 149 732949 149 734229 149 735509 149 736794 144 738074 144 739354 144 740634 144 741919 134 743199 134 744479 134 745761 132 747044 129 748324 129 749604 129 750889 119 752169 119 753449 119 754729 119 756014 114 757294 114 758574 114 759854 114 761139 104 762419 104 763699 104 764984 94 766264 94 767544 94 768824 94 770114 79 771394 79 772674 79 773954 79 775239 69 776519 69 777799 69 779079 69 780369 49 781649 49 782929 49 784224 24 785504 24 786784 24 788064 24
fcd6da15fc656702fa602bb3c7abacdb_1,
